StoreName,City,Phone,Map
Yusuf Sarai,New Delhi,+917838225457,"https://www.google.com/maps/search/?api=1&query=28.559729,77.206836&query_place_id=ChIJaYeX-yvjDDkRKvis4Jguhqo"
Kolathur,Chennai,+919319359741,"https://www.google.com/maps/search/?api=1&query=13.12372344,80.20312863&query_place_id=ChIJJXY4pNRlUjoRxCMUY7UnUq0"
Bawadi Mall,Abu Dhabi,+91502772132,"https://www.google.com/maps/search/?api=1&query=24.16024,55.80718&query_place_id=ChIJSSrJz4K5ij4RMDoRlXf8yiE"
Adoni,Adoni,+918447925965,"https://www.google.com/maps/search/?api=1&query=15.630210,77.286508&query_place_id=ChIJ35XZMNtPtjsR_2c2fczSX3M"
Anakapalle,Anakapalle,+917290022123,"https://www.google.com/maps/search/?api=1&query=17.6895411,83.0020443&query_place_id=ChIJSR3uelVxOToR5YMh06WqDkM"
"RTC Bus Stand Road, Anantapur",Anantapur,+917428890257,"https://www.google.com/maps/search/?api=1&query=14.68345,77.60147&query_place_id=ChIJYVTjL9pKsTsR5n0w2FzUaFg"
Bhimavaram,Bhimavaram,+919810734735,"https://www.google.com/maps/search/?api=1&query=16.543828,81.515394&query_place_id=ChIJDdw9ihEtNjoRLnIgNlS9gLI"
Eluru,Eluru,+919319369743,"https://www.google.com/maps/search/?api=1&query=16.71212,81.09762&query_place_id=ChIJCVujbFIVNjoRQixDZ-RJuLI"
Lakshmipuram,Guntur,+917428890224,"https://www.google.com/maps/search/?api=1&query=16.31167,80.426292&query_place_id=ChIJV9KTRgevJzoREFe-V063W2U"
Kadapa,Kadapa,+918929310236,"https://www.google.com/maps/search/?api=1&query=14.4016908,78.2537173&query_place_id=ChIJHyX_D7xzszsRt-Nn5Bqro-k"
Kakinada,Kakinada,+918447732252,"https://www.google.com/maps/search/?api=1&query=16.952192,82.234152&query_place_id=ChIJPfaRKXZLsTsRpWB13vF71HY"
Kavali,Kavali,+918929162485,"https://www.google.com/maps/search/?api=1&query=14.9085,79.9927&query_place_id=ChIJy2Udx4x7SzoRdC9-sJ_1a3M"
Nandyal Road Kurnool,Kurnool,+919667268269,"https://www.google.com/maps/search/?api=1&query=15.80354,78.0462&query_place_id=ChIJ8Y-xWw3dtTsRmMqRsnUq5GE"
Madanapalle,Madanapalle,+918929270379,"https://www.google.com/maps/search/?api=1&query=13.557668,78.500075&query_place_id=ChIJ3baVo8RnsjsRs20Ij9WOxW0"
TTD Road Nandyal,Nandyal,+919667274275,"https://www.google.com/maps/search/?api=1&query=15.4832,78.4846&query_place_id=ChIJl-FHqyOttTsRaJoJjAubW6M"
Vedayapalam,Nellore,+919582551541,"https://www.google.com/maps/search/?api=1&query=14.409863,79.955505&query_place_id=ChIJrS43CP7zTDoRTf-1ZXFdexM"
Ongole,Ongole,+918929083596,"https://www.google.com/maps/search/?api=1&query=15.51501,80.03719&query_place_id=ChIJKxzpo2YBSzoRPEU3loRVI0A"
Proddatur,Proddatur,+918447835812,"https://www.google.com/maps/search/?api=1&query=14.7517218,78.5483961&query_place_id=ChIJz9KSiHl5tDsRHP2nKnnrw2M"
Tilak Road,Rajahmundry,+917428890158,"https://www.google.com/maps/search/?api=1&query=17.002764,81.794926&query_place_id=ChIJmyIAwJKjNzoRgLTTpKWYKQA"
Satyanarayanapuram,Satyanarayanapuram,+917065311596,"https://www.google.com/maps/search/?api=1&query=16.526118,80.638908&query_place_id=ChIJ9bJwYxPlNToRuIDQoRAjtQc"
Tenali,Tenali,+918588807298,"https://www.google.com/maps/search/?api=1&query=16.233189,80.650641&query_place_id=ChIJ2eJj6RAHSjoRZ-WgLR4PjBY"
Tirumala Bypass Tirupati,Tirupati,+918774005645,"https://www.google.com/maps/search/?api=1&query=13.643306,79.427505&query_place_id=ChIJJZftpnNLTToROj7EYsmrU3E"
Tadepalle Vijayawada,Vijayawada,+919643806942,"https://www.google.com/maps/search/?api=1&query=16.473877,80.61525&query_place_id=ChIJo457RQDxNToReqOJ5xVU5zk"
Sujathanagar,Visakhapatnam,+917291823867,"https://www.google.com/maps/search/?api=1&query=17.801374,83.210041&query_place_id=ChIJs6XkfAxnOToRBJSi92PSQrc"
Vizianagaram,Vizianagaram,+919319374906,"https://www.google.com/maps/search/?api=1&query=18.1026832,83.4124340&query_place_id=ChIJ_2Zi-YXlOzoRbSiw6VTvMFM"
Test Store,andmaan,+918810365729,"https://www.google.com/maps/search/?api=1&query=22.855453,88.746752&query_place_id=ChIJ_wZ2IQCz-DkRyBPecKKE-3g"
Naharlagun,Naharlagun,+918929157897,"https://www.google.com/maps/search/?api=1&query=27.10839,93.698576&query_place_id=ChIJVaheD7ABRDcRiN_pC8aI2_0"
Baihata Chariali,Baihata Chariali,+917065045104,"https://www.google.com/maps/search/?api=1&query=26.34555,91.72654&query_place_id=ChIJUSL0uRRTWjcRNN8L3bXsewE"
Chapaguri,Bongaigaon,+919582340673,"https://www.google.com/maps/search/?api=1&query=26.48997342,90.55136191&query_place_id=ChIJ7yZzvOL_WDcRZ6yWdocYpgg"
Dibrugarh,Dibrugarh,+919582892445,"https://www.google.com/maps/search/?api=1&query=27.4822725,94.9072243&query_place_id=ChIJxx68WreZQDcR0YMwdgF1oXY"
Flagship Store Lachitnagar,Guwahati,+917303261262,"https://www.google.com/maps/search/?api=1&query=26.171393,91.761651&query_place_id=ChIJeyWMjvFZWjcRAS1I1DQtIY8"
Jorhat,Jorhat,+919667242243,"https://www.google.com/maps/search/?api=1&query=26.757675,94.21489&query_place_id=ChIJw33ny7zDRjcRcKKZ-2ny9V4"
Kokrajhar,Kokrajhar,+919643803629,"https://www.google.com/maps/search/?api=1&query=26.413728,90.276137&query_place_id=ChIJXVMXpENhWDcRtLLoxwlkoPI"
Marwaripatty,Nagaon,+917428890188,"https://www.google.com/maps/search/?api=1&query=26.35199,92.686867&query_place_id=ChIJ-ROrqi4hRTcRkH3HMPwLfyQ"
Nalbari,Nalbari,+918743820575,"https://www.google.com/maps/search/?api=1&query=26.447095582019827,91.43296813741567&query_place_id=ChIJdyMD9KDNWzcR_Wa9LWX8A8A"
Silchar,Silchar,+918929335947,"https://www.google.com/maps/search/?api=1&query=24.807642,92.795585&query_place_id=ChIJ4U8jbQVLTjcRlSvzOpWgAhc"
AT Road Sivasagar,Sivasagar,+919953832735,"https://www.google.com/maps/search/?api=1&query=26.991216,94.640865&query_place_id=ChIJn5DQa0wxRzcRSIbplM1soUk"
Tezpur,Tezpur,+919582516764,"https://www.google.com/maps/search/?api=1&query=26.622606,92.796714&query_place_id=ChIJ99-41BvpRDcRHBWW4de0ObQ"
